,Modal Administration,Urban/Rural,Project Name,Applicant,Round,cap_plan,Project Type,Project Description,Amount,coord,lat,lon
79,FRA,Rural,West Memphis International Rail Port,"City of West Memphis, AR",2012,Capital,Rail,"The West Memphis International Rail Port Logistics Park project, supported by a TIGER grant, will upgrade and strengthen existing rail, allowing it to carry heavier loads. The project will extend the spur 13,500 feet to the base of the St. Francis Levee, allowing for direct access between rail and waterborne cargo. Future development of a loop track, transload facility, and barge dock will allow exporters of coal, grain, steel, and petrochemicals to expand into this multimodal port.",10953244.0,"(35.145505, -90.187393)",35.145505,-90.187393
80,"FHWA
(FTA Consult)",Urban,Multimodal Corridor Enhancement Project,CHAMPAIGN-URBANA MASS TRANSIT DISTRICT (INC),2014,Capital,Road,"The Champaign-Urbana Mass Transit District, along with the Cities of Champaign and Urbana, and the University of Illinois will construct Complete Street corridors connecting the Cities of Champaign and Urbana to the University of Illinois and improve transit travel between the cities and the campus.",15705327.0,"(40.110277, -88.228798)",40.110277,-88.228798
81,FHWA,Rural,Northfield Multimodal Integration,"City of Northfield, Minnesota",2011,Capital,Road,"This project will construct new pedestrian facilities including sidewalks and a pedestrian bridge to help pedestrians cross State Highway 3, a major road bisecting the town of Northfield, as well as rail lines owned by Progressive Rail.  The location currently features high pedestrian traffic and is unsafe.",1060000.0,"(44.449661, -93.169384)",44.449661,-93.169384
82,FHWA,Rural,Route 10 Safety Improvements,West Virginia DOT,2010,Capital,Road,"These funds will help convert 12.84 miles of West Virginia Route 10, a narrow, two-lane road with speeds limited between 25-45 mph, into a four-lane limited-access divided highway. This will decrease response time for medical facilities, of extreme importance because of the closing of the Man Regional Hospital, and improve road safety and substantially reduces the crash rate. Between July 1, 2004 and June 30, 2007, there were 680 crashes on the existing WV 10.",17000000.0,"(37.856965, -81.995787)",37.856965,-81.995787
83,FHWA,Rural,St. Albans Main Street Reconstruction ,"City of Saint Albans, Vermont",2011,Capital,Road,"The City of St. Albans will reconstruct 1600 feet of North Main Street. The project would provide new sidewalks, pedestrian and street lighting, new tree plantings and storm water management, street paving,  new transit stops, new bicycle markings  and amenities, and reconstruction of parking and pedestrian crosswalks in full compliance with accessibility and safety standards.",2088496.0,"(44.811425, -73.083239)",44.811425,-73.083239
84,FTA,Urban,South Shore Commuter Railroad Realignment Study ,Northern Indiana Commuter Transportation District with the cooperation and financial support of the City of Michigan City.,2010,Planning,Planning,"The project will evaluate alternative alignments for South Shore freight and passenger services and recommend a preferred alignment to replace two miles of single track embedded in the middle of 10th and 11th Streets in Michigan City affecting operations and safety, and capacity, as well as train and street maintenance costs. Michigan City has identified this “street running” as a community concern for more than fifty years.",800000.0,"(41.718591, -86.902825)",41.718591,-86.902825
85,FTA,Urban,Kansas City Downtown Streetcar,"City of Kansas City, Missouri",2013,Capital,Transit,"TIGER funds will be used to construct a streetcar system that will connect the River Market area near the Missouri River to Crown Center/Union Station. The project supports continued revitalization of the Central Business District and Crossroads Arts District, connecting a number of the major downtown destinations. The Kansas City Downtown Streetcar will initially serve more than 65,000 downtown employees and 4,600 downtown residents, as well as 10 million annual visitors.",20000000.0,"(39.09669, -94.581774)",39.09669,-94.581774
86,FHWA,Rural,US-93/2nd Street Improvements,City of Whitefish,2009,Capital,Road,"This consists of improvements to US-93/2nd Street in downtown Whitefish. Key elements include a modern, coordinated traffic signal system, the addition of left turn lanes, ADA-compliant crosswalks and angled parking. The project will also do a curb-to-curb reconstruction of the roadway, during which the city will upgrade sewer and water lines. It supports a coordinated plan to improve the vitality of downtown, balancing the need to move significant volumes of traffic with the desire to maintain a pedestrian friendly, traditional small town main street and downtown and improves livability with a pedestrian-oriented streetscape.",3500000.0,"(48.407452, -114.339447)",48.407452,-114.339447
87,MARAD,Urban,Rehabilitation of Wharf Unit 1 (Berths 5/6),Diamond State Port Corporation,2013,Capital,Port,"TIGER funds will be used to rehabilitate a wharf serving two berths at the Port of Wilmington that is currently in a state of disrepair. The poor condition of this wharf prevents it from being used by all but the lightest cargo loads, severely limiting the efficiency of the Port of Wilmington. Repairs will include replacing deficient or missing piles, reinforcing deteriorated piles, and patching all concrete.",10000000.0,"(39.71622, -75.523509)",39.71622,-75.523509
88,FHWA,Urban,Vision Zero: Saving Lives and Providing Opportunity Project,New York City Department of Transportation,2014,Capital,Bicycle-Pedestrian,"The Vision Zero: Saving Lives and Providing Opportunity Project would fund a 3-part safety improvement program across the five boroughs of New York City comprised of safe pedestrian access to schools, safe pedestrian access to transit, and safe bicycle access to jobs via completion of a trail system connecting economically distressed communities to employment centers.",25000000.0,"(40.811698, -73.952537)",40.811698,-73.952537
89,MARAD,Urban,Port of Providence: Electric Cranes ,The City of Providence,2010,Capital,Port,"This project will expand and upgrade the Port of Providence in Rhode Island, replacing two aged diesel cranes, one of which is currently non-functional, with new electric, barge-based cranes that will enable the Port to handle container traffic. The Port also plans to install wind turbines and solar panels that are expected to generate enough electricity to cover all the port’s electrical needs. The improvements to the port will enable short sea shipping, which will reduce highway bottlenecks caused by truck traffic. This takes trucks off the congested I-95 corridor thanks to added capacity that can handle 1000 containers a week and supports an estimated 1,600 direct and indirect jobs through renewed port activity.",10500000.0,"(41.795888, -71.390217)",41.795888,-71.390217
90,MARAD,Urban,Nueces River Rail Yard Expansion,Port of Corpus Christi,2012,Capital,Port,"TIGER funds will build new rail infrastructure at the Port of Corpus Christi, the nation’s sixth largest port. With new rail siding along the Nueces River, the port will be able to better accommodate more shipments and more exports, increasing the capacity and efficiency of the port. Currently, trains are routinely turned away from the port due to insufficient rail structure, forcing their shipments to be trucked in from farther locations.",10000000.0,"(27.810028, -97.402081)",27.810028,-97.402081
91,FHWA,Rural,Tawa'ovi Community Streets and Infrastructure Project,The Hopi Tribe,2014,Capital,Road,"Tawa’ovi Community Streets and Infrastructure Project will develop the primary and secondary roadways into the planned Tawa’ovi community.  The Tawa’ovi community is one of six new communities envisioned by the Tribe’s strategic plan that would provide housing, jobs, and services to Hopi-Tewa people.  ",2894190.0,"(35.89795, -110.494995)",35.89795,-110.494995
92,FRA,Rural,MRC Railroad Reconstruction,South Dakota Department of Transportation,2014,Capital,Freight Rail,"The Reconstruct MRC Railroad Project will rebuild a state-owned branch railroad line from Chamberlain, SD, to Presho, SD, a distance of 41.6 miles. Improvements include replacing 65-85 lbs. rail with 112 lbs. rail, repairing bridges and culverts, and replacing broken and damaged ties.",12686089.0,"(43.876114, -99.745784)",43.876114,-99.745784
93,FTA,Urban,Goldsboro Main Street Revitalization,City of Goldsboro,2013,Capital,Road,"TIGER funds will be used to complete a package of transportation projects in the Goldsboro downtown area, including the Gateway Transit Authority Transfer Facility, a Walnut Street Connector Block, and streetscaping improvements around Union Station and Center Street. The project will reduce a large six-lane highway to a more traditional and appropriately scaled small town boulevard with wide sidewalks and bike lanes, in order to improve safety and livability.",10000000.0,"(35.386345, -77.998866)",35.386345,-77.998866
94,FHWA,Urban,Transforming Dixie Highway Project,Louisville Metro Government,2015,Capital,Transit,"The Transforming Dixie Highway Project implements BRT infrastructure, ITS upgrades including transit signal priority, and complete streets improvements along the Dixie Highway corridor. The project will contribute to the future development of Louisville’s first BRT system.   ",16910000.0,"(38.1887, -85.8383)",38.1887,-85.8383
95,FTA,Urban,Ames Intermodal Facility,Ames Transit,2009,Capital,Transit,"This will construct an intermodal hub in Ames, which will link public and private transportation modes (public transit, intercity bus carriers, regional airport shuttle services, carpools/vanpools, taxis, bicycle commuters and pedestrians) for Ames and the Central Iowa region, improving the livability of the Ames areas by linking various forms of transportation in the city so that residents, students, faculty and visitors can seamlessly transfer between modes of travel within the city and the region. The project also aims to spur transit oriented development near the facility which will increase the area’s economic competitiveness by creating development opportunities in Ames and Central Iowa. Currently, the local transportation facilities are not connected and do not provide access to the private carrier services that are located more than two miles from public transit routes in an industrial area.",8463000.0,"(42.02177, -93.611961)",42.02177,-93.611961
96,FTA,Urban,Nashville Transit Signal Priority System,Nashville MTA,2013,Capital,Transit,"TIGER funds will be used to install equipment on buses and at all signalized intersections on high traffic corridors to give buses signal priority. In addition, the city will install new bus shelters, pedestrian improvements, and intelligent transportation systems (ITS) devices (such as real-time bus signs) throughout the transit system.",10000000.0,"(36.166308, -86.777959)",36.166308,-86.777959
97,FRA,Rural,Freight Rail Reactivation and Rehab ,City of Chadron Nebraska,2010,Capital,Rail,"The project will rehabilitate the 7.5 mile rail line from the Chadron East Yards to the west end of Dakota Junction, removing an estimated 15,000 truckloads from local highways annually. Construction will upgrade 27 timber bridges extending from Chadron to Crawford; construct a new passing/ storage track in Whitney; and reconstruct a mile of track while improving connections to the main line in the Chadron Yards. The proposed project will return the rail line into a state of good repair consistent with state, regional, and local needs.",4923509.0,"(42.836199, -103.017281)",42.836199,-103.017281
98,FHWA,Urban,Allegheny Riverfront Green Boulevard Planning,City of Pittsburgh,2010,Planning,Planning,"The project will include the development of a plan to convert an existing six-mile stretch of rail right-of-way into a green riverfront rail and trail corridor extending from downtown Pittsburgh to the eastern edge of the city. An engineering study will determine how to best transform the corridor into a multi-modal transportation network that includes time-segregated passenger and freight rail operations and a parallel bicycle and pedestrian trail. The study will build on a recently completed community master plan, which includes strategies for housing and ecological restoration along the corridor.",825000.0,"(40.438136, -79.997588)",40.438136,-79.997588
99,FHWA,Rural,State Route 89 Railroad Undercrossing,Town of Truckee,2013,Capital,Bicycle and Pedestrian,"This project will provide a separate facility for bicycles and pedestrians, which must currently pass under a railroad track in an existing, narrow concrete arch tunnel with two travel lanes of traffic that is frequented by large trucks. This heavily matched project has been developed over the past several years in coordination with local and regional business, government, and environmental groups.",1500000.0,"(39.317696, -120.205606)",39.317696,-120.205606
100,MARAD,Urban,Port of Los Angeles: West Basin Railyard,Port of Los Angeles (City of Los Angeles Harbor Dep't.),2010,Capital,Port,"This project will construct an intermodal railyard, which includes staging and storage tracks connecting on-dock railyards with the Alameda Corridor, and includes a railyard for a short-line railroad serving major carriers and both major ports. The project will remove two at-grade rail-highway crossings, relieving congestion. This project mitigates disruptions to commercial activity that cost an estimated $9.1 billion per year, improves safety by reducing truck trips on I-710, which has highest accident rate in California, and by removing two at-grade rail-roadway crossings between a residential community and waterfront area, and creates nearly 2,000 construction jobs in an economically distressed area.",16000000.0,"(33.797409, -118.262544)",33.797409,-118.262544
101,FHWA,Rural,Monroe County Bridge Replacement,Monroe County,2012,Capital,Road,"TIGER funds will reconstruct a functionally obsolete bridge that serves as the primary access point for the Town of Stinesville, Indiana. The bridge is near the end of its design life, and is currently under weight restrictions. Part of the structure is currently below the 100 year flood plain and is often subject to closure due to heavy rain. The replacement bridge will have a 75 year life span, significantly reducing maintenance costs and improving safety.",1496600.0,"(39.298441, -86.651567)",39.298441,-86.651567
102,FTA,Urban,Wayne Junction Substation Replacement,"City of Philadelphia, Southeastern Pennsylvania Transportation Authority (SEPTA), Pennsylvania DOT",2012,Capital,Transit,"The Wayne Junction Power Substation serves a critical role in the Philadelphia region’s commuter network, powering much of Southeastern Pennsylvania Transit Authority’s (SEPTA) transit systems. This TIGER grant will allow the City of Philadelphia to rebuild the substation, which was originally constructed in 1931 and has been in continuous operation ever since. The project will also replace 25 indoor and outdoor rail breakers, transformers, cut-out switches, relays, and control equipment.",12862699.0,"(40.022109, -75.160139)",40.022109,-75.160139
103,FHWA,Rural,U.S. 301: Road to Opportunity,City of Wilson,2015,Capital,Road,"The U.S. 301: Road to Opportunity Project will construct multimodal facilities along the U.S. 301 corridor, including road resurfacing and rehabilitation, storm water improvements, improvements to major intersections, sidewalk gap fill projects on connecting streets, and an  extension of a shared-use path",10000000.0,"(35.6936, -77.9033)",35.6936,-77.9033
104,FHWA,Rural,Downtown St. Albans Streetscape Improvements ,Northwest Regional Planning Commission,2010,Planning,Planning,"The City of St. Albans envisions a revitalized downtown by improving sidewalks, installing energy efficient light fixtures, replacing street trees, and reducing conflict among transportation modes. The city has already raised an initial $1 million for construction. The Northwest Regional Planning Commission, on behalf of the city, will use planning dollars for design engineering that will create a downtown where housing and services are accessible by bicycle and foot.",125000.0,"(44.810586, -73.083689)",44.810586,-73.083689
105,FHWA,Urban,Lafayette I-49 Corridor Plan,Lafayette City Parish Consolidated Government,2014,Planning,Regional Planning,This project seeks to create a corridor plan for the I-49 Southern Corridor. The I-49 connector is a 5.5 mile elevated Interstate that will pass through the urban core of Lafayette. This project will prepare for improvements in the corridor concurrent with the building of the connector.,304250.0,"(30.230683, -92.018827)",30.230683,-92.018827
106,FTA,Urban,Providence Station Transit Center Plan,Rhode Island Department of Transportation,2014,Planning,Transit,"The Providence Station Transit Center Plan will: 1) identify alternative layouts that interface with Providence Station, the planned Providence Streetcar, and development of a large, adjacent brownfield; 2) continue active and robust public outreach efforts; 3) select the optimal design solution for maximizing passenger and operational benefits and compatibility of the Providence Station Transit Center Plan with the Capital Center Special Development District; 4) investigate innovative financing mechanisms, particularly those involving public-private partnerships; and, 5) advance the approved plans to conceptual design level and initiate NEPA scoping.",650000.0,"(41.82949, -71.41351)",41.82949,-71.41351
107,FHWA,Urban,Riverside Drive/Gathering Place Multimodal Access Project,City of Tulsa,2014,Capital,Road,"The Riverside Drive Multi-Modal Access Project will rebuild and rehabilitate Riverside Drive into a complete street with improved pedestrain and bicycle facilities to better connect to the Gathering Place, a 75-acre recreational park and natural area funded by the George Kaiser Family Foundation slated to open in 2017.",10000000.0,"(36.11881, -95.984802)",36.11881,-95.984802
108,FRA,Rural,Port of Oswego: East Terminal Intermodal Connector,Port of Oswego Authority,2013,Capital,Rail,"TIGER funds will be used to construct a roadway embedded with heavy rail tracks, connecting the Port’s main East Terminal to a six-acre secure, open-storage area to accommodate increased freight traffic. The roadway connector will utilize the existing right-of-way to accommodate both truck and rail traffic. The project will also add two 1,500 foot side tracks which will expand the Port’s rail car storage capacity by 67%.",1527000.0,"(43.465306, -76.510849)",43.465306,-76.510849
109,MARAD,Urban,Tenth Avenue Marine Terminal Modernization Project,San Diego Unified Port District,2015,Capital,Maritime,The Tenth Avenue Marine Terminal Modernization Project will modernize the port by removing two obsolete transit sheds and constructing a new laydown area with on-dock rail improvements. ,10000000.0,"(32.723, -117.1694)",32.723,-117.1694
110,FTA,Urban,Downtown Dallas Streetcar,North Central Texas COG,2009,Capital,Transit,"This proposed streetcar line originates in Downtown Dallas at Harwood and Main Street, continuing down Main Street to Houston Street through the largest job center in the North Texas area. This will improve transportation within downtown Dallas by creating a seamless transit connection and providing a multi-modal link between jobs and residents. It specifically targets commuters in mixed use districts adjacent to downtown and will help create a transit network linking urban areas by providing multiple transportation alternatives, providing mobility and connectivity and increases transportation options in downtown Dallas, a city with more than 1.2 million people and linking walkable, mixed use  neighborhoods in the urban core with employment centers throughout the region. (TIFIA Loan Grant)",23000000.0,"(32.790685, -96.804271)",32.790685,-96.804271
111,FHWA,Urban,Alameda Corridor East: Colton Crossing,Caltrans,2009,Capital,Rail,"The project eliminates the mainline at-grade rail crossing of the Union Pacific Railroad and the BNSF Railway at Colton in San Bernardino County. This crossing is on the major east-west corridor for each of the two carriers, and at its peak in 2006 the crossing handled 129 trains a day. The trains that wait and queue behind the crossing create a major choke point for traffic moving to and from Southern California. This addresses one of the most significant choke points for freight moving into and out of the California ports of Los Angeles/Long Beach and eliminates the need for trains to idle as they wait for a “crossing window,” and reduces delays for motorists at 24 rail-highway grade crossings affected by Colton Crossing railway congestion. Approximately 40 percent of all containerized traffic entering or leaving the United States passes through the ports of Los Angeles and Long Beach and more than 60 percent of that volume is moved inland through the L.A. Basin and the vast majority of this volume moves via rail over Colton Crossing.",33800000.0,"(34.072603, -117.330146)",34.072603,-117.330146
112,FHWA,Rural,Boundary Street Redevelopment,"City of Beaufort, South Carolina",2011,Capital,Road,"The project will retrofit Boundary Street/U.S. 21 from a suburban-style strip commercial corridor into a neighborhood-scaled, mixed-use district that supports a livable and sustainable community with access to multi-modal transportation.",12635000.0,"(32.439303, -80.670284)",32.439303,-80.670284
113,"MARAD
(FHWA Consult)",Urban,Norfolk International Terminals,Virginia Port Authority,2014,Capital,Maritime,"The project includes the construction of a 22-lane semi-automated motor carrier gate complex directly connected to I-564, including a dedicated highway on-ramp and off-ramp separating freight carriers from local traffic, as well as a dedicated service gate for terminal, service and maintenance personnel.",15000000.0,"(36.931484, -76.326787)",36.931484,-76.326787
114,MARAD,Urban,West Vancouver Freight Access ,"Port of Vancouver, USA",2010,Capital,Port,"The West Vancouver Freight Access project will construct a new rail access route to alleviate rail traffic congestion at the Port of Vancouver. The project will relocate facilities within the port to provide a new entryway into port terminals. This will create an estimated 400 permanent new jobs in two to five years, and up to 1,836 construction jobs per year, in a county with the highest unemployment rate (13.3 percent as of July 2010) in the state of Washington and support the port’s commitment to expand its use of rail from 72% to 85%.",10000000.0,"(45.650048, -122.702286)",45.650048,-122.702286
115,FHWA,Urban,I-25 North Managed Lanes Extension and Express Bus Project,Colorado DOT,2012,Capital,Road,"TIGER funds will allow the Colorado Department of Transportation to resurface a six mile portion of I-25 north of Denver and extend managed toll lanes. Currently, drivers on Interstate 25, an essential highway in the movement of goods and people across the West, experience significant congestion and delays in their commutes. Managed lanes offer a less congested alternative for high-occupancy vehicles and express bus service, while charging variable prices for single occupant vehicles based on overall demand. This project is the result of immense collaboration with the support of 24 project partners.",15000000.0,"(39.998242, -104.981964)",39.998242,-104.981964
116,FHWA,Rural,Kennebec Bridge Replacement,Maine DOT,2011,Capital,Road,"Maine Department of Transportation will reconstruct the Maine Kennebec Bridge, which carries State Route 197 over the Kennebec River between Richmond and Dresden. The project will bring the roadway corridor back to a state of good repair with construction of a new long-lasting, high-level fixed span bridge to replace the current swing span bridge, which is structurally deficient. The new design would accommodate truck traffic, bicycles, and pedestrians.",10810000.0,"(44.09061, -69.78306)",44.09061,-69.78306
117,FHWA,Rural,Walkable Olean: Complete Street Transformation,City of Olean,2013,Capital,Road,"TIGER funds will transform and repair the dilapidated and overly wide main road through Olean, NY into a calm, traditional boulevard, with a 7-foot buffered bike lane in each direction, a tree-lined median, and raised mid-block crosswalks. The current configuration of North Union Street includes four lanes and 15-foot diagonal parking on either side, for a total width of 82 feet. The project will reconstruct the current roadway, reducing the width, installing traffic-calming improvements, and replacing signal-controlled intersections with roundabouts. This project has widespread support from the public, business community, and local government officials.",6500000.0,"(42.08169, -78.43003)",42.08169,-78.43003
118,FHWA/TIFIA,Urban,Texas State Highway 161 (Grand Prairie),Texas DOT,2009,Capital,Road,"This completes the western portion of a second beltway around Dallas, improving the region’s transportation network and level of service. The project is located along the western boundary of Dallas County in a high-growth center of the Dallas-Ft. Worth Metroplex. Regional traffic management centers administered by the Authority and Texas DOT will link to an intelligent transportation system which will use real-time traffic flow and visual data to enhance mobility, reduce emissions and shorten incident response time.",20000000.0,"(32.668812, -96.961009)",32.668812,-96.961009
119,FHWA,Rural,Snake Road Improvement,Seminole Tribe of Florida,2011,Capital,Road,"The project will improve 2.25 miles of road on the Big Cypress Reservation in Hendry County, Florida.  The existing road has two 10-foot lanes, with unpaved shoulders that are worn due to heavy use by all-terrain vehicles (ATVs).  The road has intermittent segments of sub-standard sidewalks.  The project will complete two 14-foot travel lanes (one in each direction), a paved 16-foot median, and a 5-foot sidewalk on the east side and a 12-foot multi-use path on the west side.",3700000.0,"(26.637771, -81.031757)",26.637771,-81.031757
120,FHWA,Urban,Rutherford Intermodal Facility Expansion,Pennsylvania DOT,2011,Capital,Rail,"The project expands the Rutherford Intermodal Facility to accommodate an additional 125,000 lifts per year and enables the facility to keep pace with growing freight traffic demand in the Harrisburg area. The project includes track work, expansion of parking access, and the construction of cranes to increase capacity. This facility site on the Crescent Corridor is a central point for freight from cities in 12 states, including Chicago, Memphis, and Atlanta. The project will also reduce highway truck traffic along those corridors.",15000000.0,"(40.260464, -76.880508)",40.260464,-76.880508
121,FTA,Urban,Cincinnati Streetcar Riverfront Loop,City of Cincinnati,2011,Capital,Transit,"This project would design and construct two extensions to the revised Phase 1 route of the Cincinnati Streetcar. The extensions would restore the project to its original scope, directly connecting the Downtown circulator route already in design with Uptown neighborhoods to the north and the Cincinnati riverfront to the south.",10920000.0,"(39.10148, -84.497037)",39.10148,-84.497037
122,MARAD,Urban,Port of Miami Rail Access ,Miami-Dade County,2010,Capital,Port,"This project will help establish intermodal container rail service to the Port of Miami by building an intermodal yard and making necessary rail and bridge improvements. It will eliminate an estimated six million 17-mile truck trips between the Port of Miami and the Hialeah Yard, reduces greenhouse gas emissions by an expected 211,320 tons over 20 years and enhances efficiency of major port for U.S. exports to Central and South America.",22767000.0,"(25.908644, -80.162601)",25.908644,-80.162601
123,FHWA,Rural,Eisenhower/Johnson Memorial Tunnel Fire Suppression,Colorado DOT,2013,Capital,Road,"TIGER funds will be used to install a Fixed Fire Suppression System in the Eisenhower/Johnson Memorial Tunnel, which carries I-70 under the continental divide in Colorado. Each year, two-to-three vehicle fires occur inside or in close proximity to the tunnel. The closures needed to assess the fire damage and make minor repairs can last for hours, delaying the 30,000 daily vehicles using this critical route, or forcing them to detour hundreds of miles. This innovative system will enable fire crews to rapidly extinguish fires within the tunnel and prevent major traffic delays.",10000000.0,"(39.679448, -105.914753)",39.679448,-105.914753
124,FTA,Urban,Northgate Transfer Center,City of El Paso Sun Metro,2013,Capital,Transit,"TIGER funds will be used to construct a terminus for the soon to be completed Dyer Corridor Bus Rapid Transit (BRT) project – the Northgate Transfer Center. The project includes construction of a regional transit transfer center, a two-story parking and retail structure, and reconstruction of Wren Avenue. The Northgate transit hub will also anchor a transit-oriented development project on the site of a former dilapidated suburban strip mall. ",10302054.0,"(31.877022, -106.42162)",31.877022,-106.42162
125,FHWA,Urban,Main Street to Main Street Multimodal Connector,"City of Memphis, TN",2012,Capital,Bicycle and Pedestrian,"TIGER funds will improve transportation in downtown Memphis, Tennessee. The project includes upgrades to the Main Street Trolley, Main Street Mall, Central Amtrak Station, and Broadway Street. The project will also develop a new bike and pedestrian trail that will provide a crossing over the Mississippi River by way of the historic Harahan Bridge. The TIGER grant will be combined with matching investments from Memphis, West Memphis, the surrounding counties, the states of Tennessee and Arkansas, and private entities.",14939000.0,"(35.130532, -90.058907)",35.130532,-90.058907
126,FRA,Rural,Willmar Rail Connector and Industrial Access,Minnesota Department of Transportation,2015,Capital,Freight Rail,"The Willmar Rail Connector and Industrial Access Project will construct a railroad wye and spur west of Willmar, MN to alleviate a freight bottleneck and provide rail access to the City’s industrial park and the freight rail network.  ",10000000.0,"(45.1004, -95.042)",45.1004,-95.042
127,FTA,Urban,Fordham Transit Plaza (The Bronx),New York City DOT,2010,Capital,Transit,"The Fordham Transit Plaza is a key intermodal facility serving 41,000 daily bus users and providing connections to 11,000 daily regional (Metro North) rail users at one of the busiest Metro-North stations in the city. Pedestrian volumes exceed 80,000 in a single 12 hour period. The project will entirely reconstruct the facility, including improvements to safety, pedestrian and vehicular flow, and a heavily used public space. The Fordham Transit Plaza project will fully reconstruct the street-level plaza and replace the existing plaza structures; reconfigure the circulation of buses through the plaza to create a more usable, contiguous public space; build a bus-only transit mall to maximize transit efficiency; and make design and safety improvements to the surrounding streets to alleviate traffic congestion and increase pedestrian safety.",10000000.0,"(40.861927, -73.890677)",40.861927,-73.890677
128,FTA,Urban,Atlanta Streetcar - Centennial Park to King Center ,City of Atlanta,2010,Capital,Transit,"This streetcar, connecting to the existing MARTA rail system at Peachtree Center, will be 2.7 miles of track and four streetcars that operate between 12 stations from Centennial Olympic Park and the King Center. It will connect directly with MARTA heavy rail, 22 regional express bus routes, 10 local bus routes, and seven city bicycle routes, provides service to over 7,000 people who live within a quarter mile of the streetcar and over 4.7 million tourists and 1.38 million conventioneers who visit downtown Atlanta every year and provide crucial service to students from Georgia State University as well as the 688,000 patients who visit Grady Memorial Hospital and Children’s Healthcare of Atlanta each year.",47667777.0,"(33.754888, -84.388997)",33.754888,-84.388997
129,FRA,Urban,Long Bridge NEPA Documentation,District Department of Transportation,2014,Planning,Freight Rail,The Long Bridge National Environmental Policy Act (NEPA) Documentation planning grant would prepare for the long term replacement of the CSX-owned  Long Bridge over the Potomac River.,2800000.0,"(38.874736, -77.038516)",38.874736,-77.038516
130,"FHWA
(FTA Consult)",Rural,Fort Berthold Comprehensive Regional Transportation Plan,THREE AFFILIATED TRIBES,2014,Planning,Regional Planning,The Fort Berthold Comprehensive Regional Transportation Planning project comprises a series of iniatives and studies to accommodate energy-related changes to the transportation network for the Fort Berthold Indian Reservation ,1000000.0,"(47.647548, -102.120542)",47.647548,-102.120542
131,FTA,Urban,Eastside Access Improvements,Los Angeles County Metropolitan Transportation Authority,2014,Capital,Bicycle-Pedestrian,"The Eastside Access Improvements project will upgrade the streetscape, including street furniture, lighting, planting, and storm parkways, pedestrian facilities, including crosswalks and sidewalks, and bicycle facilities, including walk-bike esplanade, Class I and II bicycle lanes, cycle tracks, within a one-mile radius of the 1st/Central Station of the Regional Connector rail line, set to open for service in 2020 in the Little Tokyo neighborhood of downtown Los Angeles.  TIGER funds will not support deployment of a Regional Bike Share Program.",11800000.0,"(34.051886, -118.231524)",34.051886,-118.231524
132,FHWA,Urban,Apponaug Circulator Improvements,Rhode Island DOT,2013,Capital,Road,"TIGER funds will improve the Apponaug Circulator in the City of Warwick, Rhode Island. This project will implement a new two-way road around the Apponaug Business District, replacing a one-way roadway that circles the city center. It was built in the 1970s as a temporary measure but still exists today. This includes two major routes, US Route 1 and State Route 117, which results in a large volume of traffic traveling through residential communities. The project will divert through-traffic away from the historic business and government center to the north and will also make streetscape improvements, including widened intersections, new sidewalks and a bike lane.",10000000.0,"(41.698669, -71.460004)",41.698669,-71.460004
133,"FHWA
(FTA Consult)",Urban,Access to Opportunity: Transportation and Housing Study in the East Rockaways,New York City Department of Transportation,2014,Planning,Regional Planning,"The project will analyze the mobility needs and barriers to economic opportunity within Arverne East, the Edgemere Urban Renweal Area and surrounding communities. The study will also explore ways to improve connections to public transportation, the broader street network, local retail corridors, and the rest of the New York City.  ",1499283.0,"(40.595902, -73.769245)",40.595902,-73.769245
134,FHWA,Rural,Muldraugh Bridges Replacement,Kentucky Transportation Cabinet,2011,Capital,Rail,"The project will replace two deteriorating freight rail bridges that have reached the end of their useful lives. The bridges, known as the Muldraugh Bridges, were built in the 1880’s. These bridges are sequentially located on a heavily-utilized freight rail line extending between Paducah, KY, and Louisville, KY. The bridges are part of the Strategic Rail Corridor Network (“STRACNET”) and Defense Connector Lines (“DCLs”) serving Fort Knox, Kentucky. The bridges are critical infrastructure for a rail line that is used by numerous customers, including Louisville Gas and Electric, which depends upon coal delivered over the bridges for power generation for the citizens of Louisville and Eastern KY.",11558220.0,"(37.936736, -85.990914)",37.936736,-85.990914
135,FHWA,Urban,I-95 Interchange and Access Project,South Carolina DOT,2009,Capital,Road,"South Carolina is developing a new interstate highway from the coast of South Carolina to the North Carolina border, which will run through Marlboro, Dillon, Marion and Horry counties. This project is an 11-mile segment located in Dillon County where the new highway intersects with I-95. The project will significantly improve safety by segregating interstate traffic, including motorists travelling from I-95 to Myrtle Beach, from the local traffic, which is significantly slower. Ninety percent of Myrtle Beach visitors arrive by car, in an area that sees, on average, 100,000 visitors per day. With these improvements travelers from I-95 to Myrtle Beach will save as much as 25 minutes on this 65-mile trip. (TIFIA Loan Grant)",10000000.0,"(34.388205, -79.359719)",34.388205,-79.359719
136,FTA,Urban,Hartford's Intermodal Transportation Triangle,"City of Hartford, CT",2012,Capital,Transit,"TIGER funds will help the City of Hartford improve connectivity between its historic Main Street and Camden Union Station, the regional transportation hub for intercity rail and bus. The project includes bus stop enhancements and pedestrian access improvements at Union Station. It also incorporates Complete Streets elements, constructing water infrastructure in Bushnell Park North and re-designing streets within the Intermodal Triangle for bus access. By rerouting buses within the project area and allowing bus operations on Main Street, Union Station will be better linked to the city’s commercial core.",10000000.0,"(41.768722, -72.681688)",41.768722,-72.681688
