,Round,Project Name,Applicant Name,State,City,Project Type,Urban / Rural,Funding Request,Project Cost,Applicant Type,Grant
1873,2010,Tier I Environmental Impact Statement: North Red and Purple Lines Reconstruction,Chicago Transit Authority,Illinois,Chicago,Planning,Urban,3000000.0,3750000.0,Transit Agency,TIGER 2010
1874,2010,Upgrade Cottage Grove Station: Green Line Capacity Expansion,Chicago Transit Authority,Illinois,Chicago,Transit,Urban,16960000.0,21200000.0,Transit Agency,TIGER 2010
1875,2010,Shumway Street Improvement Project,Christian County Highway Department,Illinois,Taylorville,Road,Rural,4140000.0,4600000.0,Local Govt.,TIGER 2010
1876,2010,Berwyn Sustainable Land Use and Redevelopment Project,"City of Berwyn, Illinois",Illinois,Berwyn,Planning,Urban,2064000.0,2580000.0,Local Govt.,TIGER 2010
1877,2010,City of Carbondale Multi-modal Transportation Center,"City of Carbondale, Illinois",Illinois,Carbondale,Rail,Rural,7500000.0,8000000.0,Local Govt.,TIGER 2010
1878,2010,Revise Zoning Ordinance and Subdivision Regulations to promote sustainable development and implement the City Council goal to be a model of environmental sustainability,City of Champaign,Illinois,Champaign,Planning,Urban,160000.0,200000.0,Local Govt.,TIGER 2010
1879,2010,West Garfield Park- Heart of Chicago's West Side Plan,City of Chicago Department of Community Development,Illinois,Chicago,Planning,Urban,1914923.0,3022923.0,Local Govt.,TIGER 2010
1880,2010,Fairchild Street Subway (underpass) Replacement,City of Danville,Illinois,Danville,Road,Urban,16000000.0,20000000.0,Local Govt.,TIGER 2010
1881,2010,Emerson Square Brownfield Redevelopment,"City of Evanston, Illinois",Illinois,Evanston,Planning,Urban,12895000.0,26237184.0,Local Govt.,TIGER 2010
1882,2010,West Evanston Complete Streets Project,"City of Evanston, Illinois",Illinois,Evanston,Road,Urban,10600000.0,14630000.0,Local Govt.,TIGER 2010
1883,2010,Galesburg Multi-modal Transportation Facility,City of Galesburg,Illinois,Galesburg,Rail,Rural,10000000.0,12000000.0,Local Govt.,TIGER 2010
1884,2010,Granite City Sustainable Development Plan and Code,City of Granite City,Illinois,Granite City,Planning,Urban,175000.0,250000.0,Local Govt.,TIGER 2010
1885,2010,"Green Bay, Vine and First Street Intersection Reconstruction","City of Highland Park, Illinois",Illinois,Highland Park,Road,Urban,2400000.0,3000000.0,Local Govt.,TIGER 2010
1886,2010,Highland Park Complete Street Policy Development and Implementation,"City of Highland Park, Illinois",Illinois,Highland Park,Planning,Urban,1200000.0,1500000.0,Local Govt.,TIGER 2010
1887,2010,Sustainability Plan Implementation and Sustainable Scattered Site Affordable Housing Preservation Program,"City of Highland Park, Illinois",Illinois,Evanston,Planning,Urban,2000000.0,3280000.0,Local Govt.,TIGER 2010
1888,2010,Sportsman Road Reconstruction,"City of Highland, Illinois",Illinois,Highland,Road,Rural,1040000.0,1300000.0,Local Govt.,TIGER 2010
1889,2010,Brookmont Boulevard Underpass,City of Kankakee,Illinois,Kankakee,Road,Urban,10000000.0,20940000.0,Local Govt.,TIGER 2010
1890,2010,Rockwell Street Bridge Replacement,"City of LaSalle, IL",Illinois,La Salle,Road,Rural,1900000.0,1900000.0,Local Govt.,TIGER 2010
1891,2010,"Intersection and Hospital Access Road - Lincoln, IL",City of Lincoln,Illinois,Lincoln,Road,Rural,2000000.0,2500000.0,Local Govt.,TIGER 2010
1892,2010,"Redevelopment Plan for the Lincoln Development Center in Lincoln, Illinois",City of Lincoln Illinois,Illinois,Lincoln,Planning,Rural,150000.0,160000.0,Local Govt.,TIGER 2010
1893,2010,Litchfield Rail Spur Project,City of Litchfield,Illinois,Litchfield,Rail,Rural,2115556.0,2115556.0,Local Govt.,TIGER 2010
1894,2010,City of Marseilles Street Reconstruction & Rehabilitation Project,"City of Marseilles, Illinois",Illinois,Ottawa,Road,Rural,4000000.0,4200000.0,Local Govt.,TIGER 2010
1895,2010,City of Mendota - U.S. Route 34 & BNSF RR Corridor Improvements,City of Mendota,Illinois,La Salle,Road,Rural,9200000.0,11500000.0,Local Govt.,TIGER 2010
1896,2010,Attainable Housing Toolkit,City of Naperville,Illinois,Naperville,Planning,Urban,12000.0,15000.0,Local Govt.,TIGER 2010
1897,2010,Northlake Community Planning Project,City of Northlake,Illinois,Melrose Park,Planning,Urban,80000.0,100000.0,Local Govt.,TIGER 2010
1898,2010,Peoria Downtown Warehouse District,"City of Peoria, Illinois",Illinois,Peoria,Road,Urban,16040000.0,37400000.0,Local Govt.,TIGER 2010
1899,2010,"City of Peru, Illinois - Arterial Roadway Restoration",City of Peru,Illinois,Peru,Road,Rural,3344000.0,4180000.0,Local Govt.,TIGER 2010
1900,2010,City of Prospect Heights Road Program,City of Prospect Heights,Illinois,Prospect Heights,Planning,Urban,10000000.0,10000000.0,Local Govt.,TIGER 2010
1901,2010,Infrastructure repair/replacement,City of Springfield,Illinois,Springfield,Road,Urban,25000000.0,100000000.0,Local Govt.,TIGER 2010
1902,2010,Sidewalk repair/replacement program,City of Springfield,Illinois,Springfield,Road,Urban,15000000.0,40000000.0,Local Govt.,TIGER 2010
1903,2010,Red Gate Road Bridge,"City of St. Charles, IL",Illinois,Saint Charles,Road,Urban,12100000.0,29100000.0,Local Govt.,TIGER 2010
1904,2010,IL 29/IL 48 Taylorville/Christian Co. Truck Route,"City of Taylorville, Illinois",Illinois,Taylorville,Road,Rural,12780000.0,14200000.0,Local Govt.,TIGER 2010
1905,2010,Joe Orr Road (CH B67) Realignment and Extension,Cook County,Illinois,Chicago,Road,Urban,20000000.0,23660000.0,Other Unit of Government,TIGER 2010
1906,2010,Full Build-Out of IL 25 and New Stearns Road,County of Kane,Illinois,Saint Charles,Road,Urban/Rural,13640000.0,17050000.0,Local Govt.,TIGER 2010
1907,2010,Longmeadow Parkway Bridge Corridor Project,County of Kane,Illinois,Saint Charles,Road,Urban/Rural,87200000.0,122000000.0,Local Govt.,TIGER 2010
1908,2010,New East St. Louis Metrolink Station & TOD Plan,East St. Louis Housing Authority,Illinois,East Saint Louis,Planning,Urban,800000.0,1000000.0,Other Unit of Government,TIGER 2010
1909,2010,Shiloh Road (CH11) Capital Project Planning and Design,Edgar County Highway Department,Illinois,Paris,Planning,Rural,475000.0,475000.0,Local Govt.,TIGER 2010
1910,2010,Rehabilitation/Renovation of Existing Maintenance/Operations Facility,Greater Peoria Mass Transit District,Illinois,Peoria,Transit,Urban,8549808.0,10687260.0,Transit Agency,TIGER 2010
1911,2010,SENECA I-80 RAILPORT INTERMODAL IMPROVEMENTS,Grundy County,Illinois,Morris,Rail,Rural,10000000.0,12500000.0,Local Govt.,TIGER 2010
1912,2010,Container-on-barge Feasibility Study for Rural Counties on the Illinois Waterway,Heart of Illinois Regional Port District,Illinois,Peoria,Planning,Rural,130000.0,130000.0,Port Authority,TIGER 2010
1913,2010,Inland Waterway Marine Infrastructure and Air Quality Improvement,Heart of Illinois Regional Port District,Illinois,Peoria,Maritime,Urban,15650000.0,25600000.0,Port Authority,TIGER 2010
1914,2010,Logsdon New Vessel plus Refurbishing of Fleet,Heart of Illinois Regional Port District,Illinois,Peoria,Road,Rural,2908800.0,3636000.0,Port Authority,TIGER 2010
1915,2010,Chicago Region Environmental and Transportation Efficiency Program (CREATE),Illinois Department of Transportation,Illinois,Chicago,Rail,Urban,85200000.0,106500000.0,State Govt.,TIGER 2010
1916,2010,Joliet Regional Multi-modal Transportation Center,Illinois Department of Transportation,Illinois,Chicago,Rail,Urban,25840000.0,42011000.0,State Govt.,TIGER 2010
1917,2010,Mississippi-Ohio Rivers Intermodal Connector,Illinois Department of Transportation,Illinois,Harrisburg,Planning,Rural,2000000.0,2000000.0,State Govt.,TIGER 2010
1918,2010,Moline Multimodal Station,Illinois Department of Transportation,Illinois,Chicago,Rail,Urban,12043000.0,16634250.0,State Govt.,TIGER 2010
1919,2010,Rockford Multimodal Station,Illinois Department of Transportation,Illinois,Chicago,Rail,Urban,5555305.0,8575000.0,State Govt.,TIGER 2010
1920,2010,Dock Wall Rehabilitation,Illinois International Port District,Illinois,Chicago,Maritime,Urban,14625000.0,19500000.0,Port Authority,TIGER 2010
1921,2010,Fifth Street Road Reconstruction,Logan County,Illinois,Lincoln,Road,Rural,11680000.0,14600000.0,Local Govt.,TIGER 2010
1922,2010,"Reconstruction of the Brighton-Bunker Hill Road, County Highway 14",Macoupin County Highway Department,Illinois,Carlinville,Road,Rural,23000000.0,23000000.0,Local Govt.,TIGER 2010
1923,2010,Joppa coal loading facility,Massac-Metropolis Port District,Illinois,Metropolis,Maritime,Rural,55000000.0,55000000.0,Port Authority,TIGER 2010
1924,2010,Massac-Metropolis Port District planning grant,Massac-Metropolis Port District,Illinois,Metropolis,Planning,Rural,1000000.0,1000000.0,Port Authority,TIGER 2010
1925,2010,"Randall Road and Rakow Road Highway, Bicycle, and Pedestrian Improvements",McHenry County,Illinois,Woodstock,Planning,Urban/Rural,3000000.0,7275000.0,Local Govt.,TIGER 2010
1926,2010,McLean to Shirley Bike Trail along US Route 66,McLean County,Illinois,Bloomington,Bicycle and Pedestrian,Rural,5000000.0,5000000.0,Local Govt.,TIGER 2010
1927,2010,A-5 Interlocker Renewal Project,Metra,Illinois,Chicago,Transit,Urban,12633164.0,15791455.0,Transit Agency,TIGER 2010
1928,2010,Mid-America Intermodal Regional Port,Mid-America Intermodal Authority Port District,Illinois,Quincy,Maritime,Rural,27500000.0,27500000.0,Port Authority,TIGER 2010
1929,2010,Bluff Road Truck Route,Monroe County Highway Department,Illinois,Waterloo,Road,Rural,4800000.0,6000000.0,Local Govt.,TIGER 2010
1930,2010,Northville Township Reconnects Year Round Emergency Vehicle Access,Northville Township,Illinois,Sandwich,Road,Rural,1425000.0,1500000.0,Local Govt.,TIGER 2010
1931,2010,Taft Homes Redevelopment Master Planning,Peoria Housing Authority,Illinois,Peoria,Planning,Urban,160000.0,200000.0,Other Unit of Government,TIGER 2010
1932,2010,"Rock Island/Pimiteoui Bike Trail and Tunnel under IL State Rt 40 (Knoxville Ave.) in Peoria, IL","Pleasure Driveway & Park District of Peoria, IL",Illinois,Peoria,Bicycle and Pedestrian,Urban/Rural,3500000.0,10250000.0,Local Govt.,TIGER 2010
1933,2010,Strategic Implementation Planning & Technical Assistance,Regional Transportation Authority,Illinois,Chicago,Planning,Urban,250000.0,436600.0,Transit Agency,TIGER 2010
1934,2010,Transit-Oriented Development Land Acquisition Fund Needs Assessment and Feasibility Study,Regional Transportation Authority,Illinois,Chicago,Planning,Urban,60000.0,75000.0,Transit Agency,TIGER 2010
1935,2010,Bolivia Road Bridge,"Sangamon County, Illinois",Illinois,Springfield,Road,Rural,3900000.0,3900000.0,Local Govt.,TIGER 2010
1936,2010,"WOODSIDE ROAD AND IRON BRIDGE ROAD in SANGAMON COUNTY, ILLINOIS","Sangamon County, Illinois",Illinois,Springfield,Road,Urban,19000000.0,36000000.0,Local Govt.,TIGER 2010
1937,2010,Blue Print for a Green Zone: Planning for the Chicago South Suburban TOD Housing Initiative,South Suburban Mayors and Managers Association (SSMMA),Illinois,Hazel Crest,Planning,Urban,2939847.0,9156528.0,Other Unit of Government,TIGER 2010
1938,2010,Clear Lake Ave. Revitalization Effort,Springfield-Sangamon County Regional Planning Commission,Illinois,Springfield,Planning,Urban,80000.0,106250.0,Metropolitan Planning Org.,TIGER 2010
1939,2010,Rieder Road/FAI-64 Interchange,"St. Clair County, Illinois",Illinois,Belleville,Road,Rural,15000000.0,15000000.0,Local Govt.,TIGER 2010
1940,2010,Channahon Town Center / HY Transit Project,The Chrysler Group,Illinois,Naples,Planning,Rural,15000000.0,15000000.0,Metropolitan Planning Org.,TIGER 2010
1941,2010,Split Diamond for Little Egypt Oasis,The City of West Frankfort,Illinois,West Frankfort,Road,Rural,15000000.0,18750000.0,Local Govt.,TIGER 2010
1942,2010,Southwestern Illinois Regional South Harbor Multimodal Freight Transportation Hub,Tri-City Regional Port District,Illinois,Granite City,Maritime,Urban,12877494.0,16877494.0,Port Authority,TIGER 2010
1943,2010,Arlington Heights: STAR Line TOD,"Village of Arlington Heights, Illinois",Illinois,Arlington Heights,Planning,Urban,80000.0,100000.0,Local Govt.,TIGER 2010
1944,2010,Reconnecting Affordable Housing and TOD,"Village of Arlington Heights, Illinois",Illinois,Arlington Heights,Planning,Urban,80000.0,100000.0,Local Govt.,TIGER 2010
1945,2010,"U.S. Route 14 Underpass @ Canadian National Railroad in Barrington, Illinois","Village of Barrington, Illinois",Illinois,Barrington,Rail,Urban,55289110.0,69111387.0,Local Govt.,TIGER 2010
1946,2010,25th Avenue Grade Separation,Village of Bellwood,Illinois,Rolling Meadows,Rail,Urban,34000000.0,49500000.0,Local Govt.,TIGER 2010
1947,2010,Train Station Multi-modal Transit Improvements,Village of Clarendon Hills,Illinois,Clarendon Hills,Rail,Urban,10000000.0,12500000.0,Local Govt.,TIGER 2010
1948,2010,Diamond/Braidwood Will Road Intersection Improvements & Signalization Project,Village of Diamond,Illinois,Coal City,Planning,Urban/Rural,75000.0,75000.0,Local Govt.,TIGER 2010
1949,2010,Village of Franklin Park Industrial Area Improvements,Village of Franklin Park,Illinois,Franklin Park,Planning,Urban,500000.0,600000.0,Local Govt.,TIGER 2010
1950,2010,Village of Franklin Park Road and Intermotal Project,Village of Franklin Park,Illinois,Franklin Park,Road,Urban,13200000.0,15200000.0,Local Govt.,TIGER 2010
1951,2010,Barrington Road / I-90 Full Interchange,Village of Hoffman Estates,Illinois,Schaumburg,Planning,Urban,2000000.0,72000000.0,Local Govt.,TIGER 2010
1952,2010,Downtown and Transit Oriented Development Plan,Village of Johnsburg,Illinois,Mchenry,Planning,Rural,40000.0,50000.0,Local Govt.,TIGER 2010
1953,2010,IL Routes 47 and 176 Southern Intersection Reconfiguration,Village of Lakewood,Illinois,Crystal Lake,Road,Rural,3000000.0,3750000.0,Local Govt.,TIGER 2010
1954,2010,"103rd Street Regional Reconstruction, Streetscape and Detention Project",Village of Oak Lawn,Illinois,Oak Lawn,Road,Urban,10400000.0,13000000.0,Local Govt.,TIGER 2010
1955,2010,111th and Cicero regional trail and reservoir project (constr),Village of Oak Lawn,Illinois,Oak Lawn,Bicycle and Pedestrian,Urban,39600000.0,49500000.0,Local Govt.,TIGER 2010
1956,2010,111th and Cicero regional trail and reservoir project (planning),Village of Oak Lawn,Illinois,Oak Lawn,Planning,Urban,1200000.0,1500000.0,Local Govt.,TIGER 2010
1957,2010,Greater Downtown Oak Park Revitalization,Village of Oak Park,Illinois,Oak Park,Bicycle and Pedestrian,Urban,26000000.0,43602832.0,Local Govt.,TIGER 2010
1958,2010,West Cook County Collaborative,Village of Oak Park,Illinois,Chicago,Planning,Urban,2730000.0,3683909.0,Local Govt.,TIGER 2010
1959,2010,Village of Park Forest Sustainability Plan,Village of Park Forest,Illinois,Park Forest,Planning,Urban/Rural,300000.0,360000.0,Local Govt.,TIGER 2010
1960,2010,Riverwoods Bike Path Improvements,Village of Riverwoods,Illinois,Deerfield,Planning,Urban,2170000.0,2700000.0,Local Govt.,TIGER 2010
1961,2010,Rosemont Community Transit Plan,Village of Rosemont,Illinois,Des Plaines,Planning,Urban,160000.0,200000.0,Local Govt.,TIGER 2010
1962,2010,Downtown Transportation Enhancement for Multimodal and Business Employment Access for Low/Moderate-Income Households,Village of Skokie,Illinois,Skokie,Planning,Urban,10800000.0,14400000.0,Local Govt.,TIGER 2010
1963,2010,Dura Roadway Project,Village of Stockton,Illinois,Stockton,Road,Rural,1404000.0,2694892.0,Local Govt.,TIGER 2010
1964,2010,Downtown Parking Deck and Plaza,Village of Tinley Park,Illinois,Tinley Park,Transit,Urban,30000000.0,30000000.0,Local Govt.,TIGER 2010
1965,2010,Villa Park Grade Separation Planning Study,Village of Villa Park,Illinois,Villa Park,Planning,Urban,96000.0,120000.0,Local Govt.,TIGER 2010
1966,2010,Eastern Will County Multi-jurisdictional Land Use Plan,"Will County, IL",Illinois,Joliet,Planning,Urban/Rural,550000.0,650000.0,Local Govt.,TIGER 2010
1967,2010,Illinois Route 53 Corridor Plan,"Will County, IL",Illinois,Joliet,Planning,Urban,175000.0,318516.0,Local Govt.,TIGER 2010
1968,2010,Will County Zoning Ordinance Comprehensive Revision,"Will County, IL",Illinois,Joliet,Planning,Urban,150000.0,267440.0,Local Govt.,TIGER 2010
1969,2010,Salt Creek Trail,"Brown County, IN",Indiana,Nashville,Bicycle and Pedestrian,Rural,2900000.0,4930000.0,Local Govt.,TIGER 2010
1970,2010,Norfolk Southern Rail Connection,"City of Alexandria, Indiana",Indiana,Anderson,Rail,Urban,6000000.0,6500000.0,Local Govt.,TIGER 2010
1971,2010,Street Reconstruction,"City of Connersville, Indiana",Indiana,Connersville,Road,Rural,19999999.0,19999999.0,Local Govt.,TIGER 2010
1972,2010,Whitewater Valley Regional Freight Rail Improvements,"City of Connersville, Indiana",Indiana,Connersville,Rail,Rural,4985954.0,4985954.0,Local Govt.,TIGER 2010
1973,2010,Prairie Street Grade Separation,"City of Elkhart, Indiana",Indiana,Elkhart,Road,Urban,13000000.0,33020000.0,Local Govt.,TIGER 2010
1974,2010,Bicycle and Pedestrian Network Enhancement,"City of Evansville, IN",Indiana,Evansville,Bicycle and Pedestrian,Urban,12560588.0,17460735.0,Local Govt.,TIGER 2010
1975,2010,City of Fort Wayne - Anthony Boulevard Corridor Strategy,City of Fort Wayne,Indiana,Fort Wayne,Planning,Urban,750000.0,1000000.0,Local Govt.,TIGER 2010
1976,2010,Greenway Connection,City of Indianapolis,Indiana,Indianapolis,Bicycle and Pedestrian,Urban,12709951.0,15887439.0,Local Govt.,TIGER 2010
1977,2010,Indianapolis Department of Public Works-Rehabilitation of Indianapolis' Bridges 2010 TIGERII Grant Application,City of Indianapolis,Indiana,Indianapolis,Road,Urban,21522000.0,21522000.0,Local Govt.,TIGER 2010
1978,2010,Indianapolis Department of Public Works-Traffic Congestion Management System,City of Indianapolis,Indiana,Indianapolis,Road,Urban,13242550.0,13242550.0,Local Govt.,TIGER 2010
1979,2010,Indianapolis Ordinance Revision Project for Sustainability,City of Indianapolis Division of Planning,Indiana,Indianapolis,Planning,Urban,1197622.0,1988345.0,Local Govt.,TIGER 2010
1980,2010,North Canal District Planning Project,City of Jeffersonville,Indiana,Jeffersonville,Planning,Urban,350000.0,450000.0,Local Govt.,TIGER 2010
1981,2010,City of Logansport Zoning Ordinance Rewrite,"City of Logansport, Indiana",Indiana,Logansport,Planning,Rural,80000.0,100000.0,Local Govt.,TIGER 2010
1982,2010,Trans-Formation,City of Marion,Indiana,Marion,Planning,Rural,350000.0,623670.0,Local Govt.,TIGER 2010
1983,2010,US Highway 31 and Adams Road Interchange,City of South Bend - Dept. of Public Works,Indiana,South Bend,Road,Urban,18085400.0,22835400.0,Local Govt.,TIGER 2010
1984,2010,Margaret Avenue Corridor,City of Terre Haute,Indiana,Terre Haute,Planning,Urban,2805000.0,3740000.0,Local Govt.,TIGER 2010
1985,2010,Fayette County Bridge Project,Fayette County,Indiana,Connersville,Road,Rural,1310000.0,1790500.0,Local Govt.,TIGER 2010
1986,2010,Central Indiana’s Mt. Comfort Corridor Connector,"Hancock County, Indiana",Indiana,Greenfield,Road,Rural,30800000.0,85242505.0,Local Govt.,TIGER 2010
1987,2010,"Hendricks County, Indiana Ronald Reagan Parkway","Hendricks County, Indiana",Indiana,Indianapolis,Road,Urban,18400000.0,23000000.0,Local Govt.,TIGER 2010
1988,2010,Cline Avenue Area Lake Shore Access & Beautification Project,Indiana Department of Transportation,Indiana,Indianapolis,Bicycle and Pedestrian,Urban,30000000.0,88000000.0,State Govt.,TIGER 2010
1989,2010,US 50 North Vernon Bypass,Indiana Department of Transportation,Indiana,Indianapolis,Road,Rural,40000000.0,50000000.0,State Govt.,TIGER 2010
1990,2010,Urban Bridge Replacement - 8th Street Bridge over the White River,Madison County,Indiana,Anderson,Road,Urban,14438000.0,18259000.0,Local Govt.,TIGER 2010
1991,2010,7th(a) Road Corridor,Marshall County,Indiana,Plymouth,Planning,Rural,10000000.0,16701510.0,Local Govt.,TIGER 2010
1992,2010,Transportation corridor study to identify the preferred alignment for rerouting the South Shore commuter railroad through Michigan City.,Northern Indiana Commuter Transportation District,Indiana,Chesterton,Planning,Urban,800000.0,1099500.0,Local Govt.,TIGER 2010
1993,2010,Marquette Catalytic Investment Projects,Northwest Indiana Regional Development Authority,Indiana,Crown Point,Planning,Urban,3000000.0,6000000.0,Other Unit of Government,TIGER 2010
1994,2010,Perry County Port Authority Freight Rail Infrastructure Investment,"Perry County, Indiana",Indiana,Tell City,Rail,Rural,3000000.0,4500000.0,Local Govt.,TIGER 2010
1995,2010,Ports of Indiana - Burns Harbor Expansion,Ports of Indiana,Indiana,Indianapolis,Maritime,Urban,10373650.0,13810125.0,Port Authority,TIGER 2010
1996,2010,Northeast Quad Putnam County Road Recovery,Putnam County Commissioners (Indiana),Indiana,Coatesville,Road,Rural,4900000.0,4900000.0,Local Govt.,TIGER 2010
1997,2010,Spencer County Board of Commissioners Port Infrastructure Investment Project,Spencer County Board of Commissioners,Indiana,Rockport,Rail,Rural,34724398.0,44554398.0,Local Govt.,TIGER 2010
1998,2010,96th Street and Keystone Parkway Interchange,"The City of Carmel, Indiana",Indiana,Carmel,Road,Urban,23119481.0,57004552.0,Local Govt.,TIGER 2010
1999,2010,West Side Connector,"Town of Santa Claus, Indiana",Indiana,Santa Claus,Road,Rural,1000000.0,1000000.0,Local Govt.,TIGER 2010
2000,2010,Final Phase of Waterloo Station Improvements,"Town of Waterloo, IN",Indiana,Waterloo,Rail,Rural,1820100.0,1820100.0,Local Govt.,TIGER 2010
2001,2010,University Parkway Corridor Study,"Vanderburgh County, Indiana",Indiana,Evansville,Planning,Urban/Rural,800000.0,1000000.0,Local Govt.,TIGER 2010
2002,2010,Lafayette Avenue/Clinton Road Reconstruction,Vigo County,Indiana,Terre Haute,Planning,Urban,2000000.0,2500000.0,Local Govt.,TIGER 2010
2003,2010,"Vincennes, Indiana 6th Street Grade Separation","Vincennes, Indiana",Indiana,Indianapolis,Road,Rural,11259300.0,19723300.0,Local Govt.,TIGER 2010
2004,2010,Ames Intermodal Facility Expansion,Ames Transit Agency (CyRide),Iowa,Ames,Transit,Urban,10421763.0,13028263.0,Transit Agency,TIGER 2010
2005,2010,Collins Road (Ia 100) Improvements from Twixt Town Road NE to Northland Ave NE,City of Cedar Rapids,Iowa,Cedar Rapids,Road,Urban,19400000.0,24250000.0,Local Govt.,TIGER 2010
2006,2010,Edgewood Road Complete Streets Improvement,City of Cedar Rapids,Iowa,Cedar Rapids,Bicycle and Pedestrian,Urban,2000000.0,19000000.0,Local Govt.,TIGER 2010
2007,2010,Iowa Highway 100 Bridge Over the Cedar River,City of Cedar Rapids,Iowa,Cedar Rapids,Road,Urban,19200000.0,24000000.0,Local Govt.,TIGER 2010
2008,2010,Coralville Transit Intermodal Facility,City of Coralville,Iowa,Coralville,Transit,Urban,11068475.0,22023452.0,Local Govt.,TIGER 2010
2009,2010,"City of Davenport, Iowa: Brady/Harrison Sustainable Neighborhood Restoration","City of Davenport, Iowa",Iowa,Davenport,Road,Urban,18040000.0,22550000.0,Local Govt.,TIGER 2010
2010,2010,"City of Davenport, Iowa: Neighborhood Revitalization Program","City of Davenport, Iowa",Iowa,Davenport,Planning,Urban,360000.0,450000.0,Local Govt.,TIGER 2010
2011,2010,"Update comprehensive plan, zoning and construction code, and demonstration project.","City of Des Moines, IA",Iowa,Des Moines,Planning,Urban,3000000.0,3500000.0,Local Govt.,TIGER 2010
2012,2010,City of Dubuque Intermodal Transportation Facility,"City of Dubuque, Iowa",Iowa,Dubuque,Rail,Urban,12000000.0,16000000.0,Local Govt.,TIGER 2010
2013,2010,Cross-Town Connector Roadway Improvements and Downtown Reviatalization Project,"City of Fort Dodge, Iowa",Iowa,Fort Dodge,Road,Rural,6565000.0,9565000.0,Local Govt.,TIGER 2010
2014,2010,Fort Madison Downtown Riverfront Mobility Plan,"City of Fort Madison, Iowa",Iowa,Burlington,Planning,Rural,120000.0,150000.0,Local Govt.,TIGER 2010
2015,2010,Iowa City/Coralville Rail Transit Corridor Land Use Plan,City of Iowa City,Iowa,Iowa City,Planning,Urban,150000.0,200000.0,Local Govt.,TIGER 2010
2016,2010,Park Road Bridge Replacement and Dubuque St. Elevation Project,City of Iowa City,Iowa,Iowa City,Road,Urban,12000000.0,32000000.0,Local Govt.,TIGER 2010
2017,2010,Marshalltown Northern Corridor Redevelopment,City of Marshalltown,Iowa,Marshalltown,Planning,Rural,1100809.0,1156809.0,Local Govt.,TIGER 2010
2018,2010,Highway 965 Corridor Enhancement Project,"City of North Liberty, Iowa",Iowa,North Liberty,Road,Urban/Rural,31600000.0,39500000.0,Local Govt.,TIGER 2010
2019,2010,Sergeant Bluff Port Authority and Affordable Housing Project,City of Sergeant Bluff,Iowa,Sergeant Bluff,Planning,Rural,3000000.0,3750000.0,Local Govt.,TIGER 2010
2020,2010,Des Moines County  X99 Bridge Replacement,"Des Moines County, Iowa",Iowa,West Burlington,Road,Rural,4525000.0,4525000.0,Local Govt.,TIGER 2010
2021,2010,Sustainable Multi-Modal Transit Hub,Des Moines Regional Transit Authority,Iowa,Des Moines,Transit,Urban,10000000.0,12500000.0,Transit Agency,TIGER 2010
2022,2010,Hamilton County Wind Rail Port Project,Hamilton County,Iowa,Webster City,Rail,Rural,11463112.0,12963112.0,Local Govt.,TIGER 2010
2023,2010,Iowa Smart Cities Project,Iowa Department of Economic Development,Iowa,Des Moines,Planning,Urban/Rural,1784625.0,2234625.0,State Govt.,TIGER 2010
2024,2010,CRANDIC West 900 Interchange Project,Iowa Department of Transportation,Iowa,Ames,Rail,Rural,2501801.0,8183310.0,State Govt.,TIGER 2010
2025,2010,Interstate 29 Segment 2 Improvements,Iowa Department of Transportation,Iowa,Ames,Road,Urban,101544337.0,349752655.0,State Govt.,TIGER 2010
2026,2010,"Multi-modal quality of life improvements for I-74 in Bettendorf and Davenport, Iowa",Iowa Department of Transportation,Iowa,Ames,Road,Urban,78400000.0,98000000.0,State Govt.,TIGER 2010
2027,2010,US 34 Missouri River Connector,Iowa Department of Transportation,Iowa,Ames,Road,Rural,106354965.0,143902047.0,State Govt.,TIGER 2010
2028,2010,US 61 Fort Madison Bypass,Iowa Department of Transportation,Iowa,Ames,Road,Rural,36758000.0,109666401.0,State Govt.,TIGER 2010
2029,2010,Louisa County X99 Bridge Replacement,Louisa County Secondary Roads,Iowa,Wapello,Road,Rural,10386000.0,10386000.0,Local Govt.,TIGER 2010
2030,2010,NW 66th Avenue Reconstruction and Kempton Bridge Replacement Project,Polk County,Iowa,Des Moines,Road,Urban,15041000.0,24748000.0,Local Govt.,TIGER 2010
2031,2010,Sustainable Communities,Siouxland Interstate Metropolitan Planning Council,Iowa,Sioux City,Planning,Rural,240000.0,240000.0,Metropolitan Planning Org.,TIGER 2010
2032,2010,147th - Donahoo Rd. to Hollingsworth Rd.,City of Basehor,Kansas,Basehor,Road,Rural,552000.0,690000.0,Local Govt.,TIGER 2010
2033,2010,147th - Parallel Rd. to Leavenworth Rd.,City of Basehor,Kansas,Basehor,Road,Rural,552000.0,690000.0,Local Govt.,TIGER 2010
2034,2010,147th St - Leavenworth Rd to Donahoo Rd.,City of Basehor,Kansas,Basehor,Road,Rural,552000.0,690000.0,Local Govt.,TIGER 2010
2035,2010,155th - Parallel to Elm St.,City of Basehor,Kansas,Basehor,Road,Rural,1217265.0,1521582.0,Local Govt.,TIGER 2010
2036,2010,155th and Parallel Intersection,City of Basehor,Kansas,Basehor,Road,Rural,902252.0,1127816.0,Local Govt.,TIGER 2010
2037,2010,Parallel Rd. - 155th to 163rd,City of Basehor,Kansas,Basehor,Road,Rural,556000.0,695000.0,Local Govt.,TIGER 2010
